event_id,pid,px,py,pz,E,x_f,y_f,z_f,t_f
0,10313,-0.0918783255,0.772650947,-3.08981017,3.4307932,-7.66667,0.333333,-1.49451,1.61046
0,-315,-1.03381233,0.0404016783,-0.678703436,1.89025913,-7.0,-2.33333,-0.0865324,0.606208
0,211,-0.13916918,-0.254781049,-7.32308187,7.33013326,-7.0,0.333333,-14.2693,14.2819
0,113,-0.688306751,-0.0901623979,-7.57575627,7.64697028,-7.0,1.0,-8.82277,8.84315
0,211,-0.0770849218,-0.183612318,-6.38367793,6.38827391,-6.33333,0.333333,-50.8714,50.8749
0,111,0.0393211148,0.501317275,7.39627978,7.41463848,-6.33333,1.66667,8.62583,8.64667
0,-211,-0.10526404,0.35012277,-0.904993318,0.985760304,-5.66667,-5.0,-1.93494,2.02583
0,13214,-0.498513726,-0.212373701,40.5529476,40.5909359,-5.66667,-3.0,14.5477,14.56
0,111,0.251045262,-0.175854727,5.55381198,5.56397521,-5.66667,3.66667,18.4946,18.5043
0,321,0.450661542,-0.414206971,2.49915305,2.62001245,-5.0,-6.33333,1.92174,2.01323
0,-213,0.0548100637,-0.210402815,-4.66034965,4.7295146,-5.0,-5.66667,-4.19726,4.23993
0,111,-0.043143183,0.00554157477,-0.919189972,0.930508596,-5.0,-5.66667,-3.23077,3.28601
0,-315,0.153630985,0.234991532,92.6260922,92.63754,-5.0,3.0,38.5444,38.5491
0,111,-0.0119063094,0.667360304,162.7484,162.749827,-3.66667,-2.33333,50.4892,50.4928
0,-211,0.0158637895,0.0353675433,3.16518691,3.16843096,-1.66667,5.66667,30.8036,30.8094
0,-211,-0.13726043,0.586998013,-5.85676765,5.8893275,-1.66667,7.0,-8.67263,8.69336
0,-211,0.121366755,0.132676309,-0.152565706,0.273227354,-1.66667,7.66667,-1.86642,1.96049
0,-211,0.00196887879,-0.249739427,1.06165488,1.09933104,-1.0,-7.66667,2.52674,2.597
0,221,-0.173625017,0.358873942,-0.0470682401,0.679305213,-0.333333,-7.66667,-0.239772,0.646135
