kT_min,kT_max,kT_mean,mT,alpha,alpha_err,Rout,Rout_err,Rside,Rside_err,Rlong,Rlong_err,chi2_ndf,ndf,CL,status,1mm_lambda,1mm_lambda_err,5mm_lambda,5mm_lambda_err,5cm_lambda,5cm_lambda_err,50cm_lambda,50cm_lambda_err
0.15,0.2,0.175,0.2238409813,1.464742731,0.001518043627,8.938556454,0.01389783348,8.15221156,0.01256125077,14.31803736,0.02200017459,2687.634095,166,0,3,0.8204611042,0.000682374919,0.8186291229,0.0006808466305,0.8152057951,0.0006780065242,0.8145993816,0.0006775008636
0.2,0.25,0.225,0.2647730819,1.489800688,0.001123411149,8.732957588,0.009576072689,7.424031246,0.008090284273,12.76979522,0.01384240723,4388.036787,163,0,3,0.8248994311,0.0004920735546,0.8230816706,0.000490988999,0.8192766997,0.0004887197641,0.8185894576,0.0004883108785
0.25,0.3,0.275,0.3083906369,1.509099237,0.001124947108,8.310484654,0.008792219952,6.837354869,0.007172675838,11.26162371,0.01173907537,4082.585921,160,0,0,0.8299706337,0.0004836602369,0.8281283976,0.000482586356,0.8242958679,0.0004803530041,0.8235522966,0.0004799236128
0.3,0.35,0.325,0.3537015478,1.528647898,0.001173513911,7.754936647,0.008834206212,6.373357994,0.007213787668,10.00981852,0.0112446266,4003.72619,160,0,0,0.8351387104,0.0005301015021,0.8331542269,0.0005288415865,0.8292011152,0.0005263328559,0.8283815438,0.000525812854
0.35,0.4,0.375,0.4001309597,1.549666855,0.001337721853,7.244745037,0.009143196693,5.970255167,0.007488998482,8.988965357,0.01117979836,3219.180376,157,0,0,0.8405469741,0.0005976794567,0.8384956976,0.0005962210841,0.8344902427,0.0005933725998,0.8336186012,0.0005927527928
0.4,0.45,0.425,0.4473307332,1.566622256,0.001483530431,6.812130387,0.009685437136,5.626554664,0.007931456301,8.154422367,0.01135894415,2816.550563,157,0,0,0.8470491155,0.0006844768291,0.8448570107,0.0006827153448,0.8408659946,0.0006794855075,0.8398916083,0.0006786975803
0.45,0.5,0.475,0.4950805842,1.582135248,0.001728622604,6.441664599,0.01050620011,5.347593528,0.008588731261,7.473556559,0.01191751389,2259.954791,154,0,0,0.8517129618,0.000793792083,0.8495360099,0.0007917691073,0.8455771543,0.0007880734338,0.8444368695,0.0007870102975
0.5,0.55,0.525,0.5432354783,1.598516338,0.001946820243,6.101230547,0.01133187319,5.082960252,0.009344707541,6.873578796,0.01253522964,1863.174607,154,6.906441491e-291,0,0.8564686186,0.0009218582157,0.8541521814,0.000919365309,0.8502135552,0.0009151254513,0.8488780285,0.0009136876651
0.55,0.6,0.575,0.5916965311,1.607424392,0.002223091506,5.816432224,0.01252453542,4.847010083,0.01035444769,6.365547083,0.01340478752,1763.052005,154,5.750036881e-271,0,0.8619970236,0.001081134461,0.8596703459,0.001078215497,0.8555965886,0.001073106267,0.8542060075,0.001071361112
0.6,0.65,0.625,0.6403942418,1.626567153,0.002584805824,5.556641638,0.012785905,4.617749628,0.0113712493,5.930176541,0.01441010876,1268.298234,151,8.98694331e-176,3,0.8676062292,0.001270814222,0.8651570344,0.001267285388,0.860995305,0.001261126629,0.8594788795,0.00125891682
0.65,0.7,0.675,0.6892784524,1.635534879,0.003034611845,5.320820496,0.01496947543,4.46261531,0.0128579275,5.538595095,0.01577053637,955.487258,151,5.440901574e-117,0,0.8714347753,0.001499995529,0.8689412325,0.001495705598,0.8648031576,0.001488571329,0.8630642954,0.001485571252
0.7,0.75,0.725,0.7383121189,1.647062833,0.003482150749,5.123795615,0.01736316988,4.275454145,0.01432497339,5.220604699,0.01726971025,787.1121631,151,1.104654e-86,0,0.8749244081,0.001764400742,0.8720263958,0.00175855729,0.8674150448,0.001749256854,0.8656823487,0.001745751487
0.75,0.8,0.775,0.7874673231,1.64447252,0.004073122438,4.903812522,0.01846344766,4.145886019,0.01646392972,4.906509762,0.01908951063,701.316383,151,8.95134156e-72,3,0.8793634356,0.002089666047,0.876540669,0.002083090556,0.8719384762,0.002072134638,0.8701200092,0.002067811046
0.8,0.85,0.825,0.8367226451,1.653588115,0.004967687496,4.702548217,0.02268902115,4.024947684,0.01927441251,4.666964924,0.02323521943,503.3165619,148,2.903415207e-40,3,0.8832313696,0.002542128344,0.8802504634,0.002533545563,0.8751666671,0.002518915587,0.8729681284,0.002512583714
