kT_low,kT_high,kT_center,mT,N_pairs,alpha,alpha_err,Rout,Rout_err,Rside,Rside_err,Rlong,Rlong_err,1mm_lambda,1mm_lambda_err,5mm_lambda,5mm_lambda_err,5cm_lambda,5cm_lambda_err,50cm_lambda,50cm_lambda_err,chi2,ndf,fit_status
0.15000000,0.20000000,0.17500000,0.22384098,1007872,1.38160358,1.07710560,27.91972607,15.47813027,6.50622982,6.54257819,15.60842171,14.21491742,0.68754369,0.81593774,0.68754369,0.81593774,0.68754369,0.81593774,0.68754369,0.81593774,0.08297223,166.00000000,0.00000000
0.20000000,0.25000000,0.22500000,0.26477308,1432255,1.51253763,1.34688401,29.99999993,22.03103472,5.68254954,4.99490056,13.03583848,16.01775139,0.67795136,0.75925955,0.67795136,0.75925955,0.67795136,0.75925955,0.67795136,0.75925955,0.12368427,163.00000000,0.00000000
0.25000000,0.30000000,0.27500000,0.30839064,1155306,1.55940149,1.47791956,30.00000000,29.24168270,5.18233813,4.13528413,11.24475476,14.79601975,0.70266644,0.75152794,0.70266644,0.75152794,0.70266644,0.75152794,0.70266644,0.75152794,0.19788115,160.00000000,0.00000000
0.30000000,0.35000000,0.32500000,0.35370155,768786,1.58460317,1.51398985,29.99999985,29.34521866,4.87970035,3.68132880,9.90388948,13.98796660,0.73779257,0.76251898,0.73779257,0.76251898,0.73779257,0.76251898,0.73779257,0.76251898,0.26934376,160.00000000,0.00000000
0.35000000,0.40000000,0.37500000,0.40013096,501158,1.59912059,1.53143357,29.99999991,28.29787870,4.55167680,2.83384440,8.91945725,7.52854734,0.77031604,0.75607005,0.77031604,0.75607005,0.77031604,0.75607005,0.77031604,0.75607005,0.38824488,157.00000000,0.00000000
0.40000000,0.45000000,0.42500000,0.44733073,322385,1.60999530,1.54871495,30.00000000,27.66502955,4.39811701,2.61313731,8.19449914,6.68158252,0.81340667,0.77447243,0.81340667,0.77447243,0.81340667,0.77447243,0.81340667,0.77447243,0.44154280,157.00000000,0.00000000
0.45000000,0.50000000,0.47500000,0.49508058,207432,1.62101415,1.55616853,29.99999986,26.80577152,4.22911839,2.29175345,7.42667758,5.99006018,0.84645467,0.79049772,0.84645467,0.79049772,0.84645467,0.79049772,0.84645467,0.79049772,0.53434091,154.00000000,0.00000000
0.50000000,0.55000000,0.52500000,0.54323548,135417,1.63261266,1.55436085,29.99999921,25.96019766,4.01806133,2.00642677,7.10682467,5.56300894,0.88543062,0.50480701,0.88543062,0.50480701,0.88543062,0.50480701,0.88543062,0.50480701,0.66222677,154.00000000,0.00000000
0.55000000,0.60000000,0.57500000,0.59169653,89619,1.63624473,1.56437772,30.00000000,25.68477944,3.95233137,2.05463360,6.75421196,4.95987198,0.93564982,0.90062034,0.93564982,0.90062034,0.93564982,0.90062034,0.93564982,0.90062034,0.68329426,154.00000000,0.00000000
0.60000000,0.65000000,0.62500000,0.64039424,59488,1.64784373,1.56044862,29.99999998,24.98114552,3.77167824,2.15312966,6.54855045,4.78428671,0.97088884,0.98453425,0.97088884,0.98453425,0.97088884,0.98453425,0.97088884,0.98453425,0.79656356,151.00000000,0.00000000
0.65000000,0.70000000,0.67500000,0.68927845,39657,1.65501313,1.55831156,30.00000000,25.08568169,3.65498519,1.47124794,6.20135900,3.55883929,0.99999998,0.68474415,0.99999998,0.68474415,0.99999998,0.68474415,0.99999998,0.68474415,0.83047932,150.00000000,0.00000000
0.70000000,0.75000000,0.72500000,0.73831212,26778,1.63983588,1.42251061,29.99999963,24.86459662,3.50834525,1.49963536,5.59183616,3.02825585,1.00000000,0.99733378,1.00000000,0.99733378,1.00000000,0.99733378,1.00000000,0.99733378,0.91397090,151.00000000,0.00000000
0.75000000,0.80000000,0.77500000,0.78746732,18187,1.63243499,1.50653745,29.99999998,25.02963749,3.33802166,1.26166167,5.27299909,2.78141567,1.00000000,0.91452823,1.00000000,0.91452823,1.00000000,0.91452823,1.00000000,0.91452823,1.01606938,151.00000000,0.00000000
