kT_min,kT_max,kT_mean,mT,alpha,alpha_err,Rout,Rout_err,Rside,Rside_err,Rlong,Rlong_err,chi2_ndf,ndf,CL,status,1mm_lambda,1mm_lambda_err,5mm_lambda,5mm_lambda_err,5cm_lambda,5cm_lambda_err,50cm_lambda,50cm_lambda_err
0.15,0.2,0.175,0.2238409813,1.453240914,0.00255446036,9.201475634,0.01708440235,7.844188691,0.02006040445,14.78448484,0.03753615802,733.2057847,166,3.040492958e-72,3,0.6775128865,0.0009268700255,0.677059435,0.000926251619,0.6761924623,0.0009248120184,0.6760040201,0.0009242105516
0.2,0.25,0.225,0.2647730819,1.468436748,0.001542445831,9.003323707,0.007547688141,7.134556273,0.007271227107,13.22852472,0.0263688511,1312.467339,163,1.054339222e-178,3,0.6964234659,0.0006881384387,0.6959628046,0.0006878731911,0.6950038546,0.0006867580058,0.6948201165,0.0006868058209
0.25,0.3,0.275,0.3083906369,1.483387607,0.001900984987,8.614079633,0.01699507845,6.598748233,0.01136909167,11.69357461,0.02087818954,1445.952615,160,9.654155111e-206,3,0.7145838136,0.0007002433381,0.7140479748,0.0006999673605,0.7130281601,0.0006987191139,0.7128174889,0.0006985133105
0.3,0.35,0.325,0.3537015478,1.490762612,0.002101561528,8.068485476,0.01712917481,6.144518315,0.01122697444,10.46144896,0.02052206453,1583.099593,160,2.032498807e-232,0,0.7329893727,0.0007947589562,0.7324196269,0.0007941174728,0.731297892,0.0007929310409,0.7310393195,0.000792583731
0.35,0.4,0.375,0.4001309597,1.502832614,0.002152906684,7.573115014,0.01699454859,5.761613557,0.007653629454,9.384028837,0.02077884181,1498.559399,157,2.074645762e-217,3,0.7485333101,0.0009250039545,0.7479233285,0.0009239734544,0.7466959443,0.0009227405498,0.746391235,0.0009220772589
0.4,0.45,0.425,0.4473307332,1.519967221,0.003054269102,7.126570962,0.01872411195,5.441194118,0.01370380182,8.537825144,0.02179160414,1374.598382,157,2.153562203e-193,0,0.7630383127,0.001089924429,0.762296964,0.001088786219,0.7610202641,0.001087100007,0.760656264,0.001086743658
0.45,0.5,0.475,0.4950805842,1.531083902,0.003279197759,6.732720528,0.02003869166,5.155893278,0.01533147029,7.812125319,0.03248573042,1230.757899,154,3.168608644e-167,3,0.7744356932,0.001294591622,0.7736190134,0.001293226484,0.7721845613,0.001290819352,0.771776119,0.001290109557
0.5,0.55,0.525,0.5432354783,1.538170917,0.003954827927,6.386298531,0.02098257503,4.905205701,0.01711907815,7.202463212,0.02497101982,1102.67006,154,4.950721737e-143,0,0.7856371359,0.00154325042,0.7847769395,0.001541633403,0.7832455685,0.001538256815,0.7828221865,0.001537345896
0.55,0.6,0.575,0.5916965311,1.538782377,0.00388276336,6.128744695,0.02528602559,4.713825872,0.01239557235,6.67602159,0.02707511893,932.0783367,154,1.597857075e-111,3,0.7973965488,0.001848245069,0.7965092804,0.001846176515,0.7949033922,0.001842460541,0.7944017683,0.001841272108
0.6,0.65,0.625,0.6403942418,1.545057344,0.005142442747,5.840880283,0.0247960338,4.528405072,0.02185791241,6.267111798,0.03007065474,764.6127149,151,9.852690081e-83,0,0.8086001589,0.002212606163,0.8076783628,0.002210087018,0.8060422495,0.002205603697,0.8054425142,0.002203960799
0.65,0.7,0.675,0.6892784524,1.553628965,0.00614324948,5.626098679,0.03229789694,4.34283627,0.02458805287,5.816147507,0.04163229158,593.1483733,151,1.101620077e-53,0,0.8181953572,0.002661632237,0.8170355202,0.00265790998,0.8153115567,0.002652226704,0.8146456586,0.002650065723
0.7,0.75,0.725,0.7383121189,1.554546992,0.007072687156,5.374673995,0.03722146463,4.206576951,0.02837202276,5.482056652,0.04111011727,518.2490392,151,9.119325219e-42,0,0.8305924898,0.003197761565,0.8293826876,0.003193117729,0.8273106499,0.003185121474,0.8266041162,0.003182394947
0.75,0.8,0.775,0.7874673231,1.551358754,0.008308821147,5.280177061,0.04315576131,4.080793344,0.02082438239,5.191800986,0.04156943656,393.5475862,151,1.552244425e-23,3,0.8346812435,0.003829673243,0.8333403146,0.003823168905,0.8310824518,0.003812819467,0.8302188064,0.003809600808
0.8,0.85,0.825,0.8367226451,1.564520892,0.009988265893,5.093780187,0.04976886065,3.963463821,0.03849251404,4.991932491,0.06066213321,320.9941412,148,8.040807091e-15,3,0.8386855129,0.004678513032,0.8372994445,0.004670795514,0.8350449272,0.004658178531,0.8340309283,0.004652601816
